Query	PT	ST	ST Co	ST Ca	ST CoCa	EVPBT	EVP
IL-1-5	128486	235865	212930	172769	193029	21273	12543
IL-1-6	131304	148567	125441	123045	110812	16238	12252
IL-1-7	152730	178891	161425	142636	139216	19872	15062
IL-1-8	152169	148158	154996	115680	121499	22364	15003
IL-1-9	153360	144950	130530	110874	118094	24376	15478
IL-1-10	154272	176364	150831	114760	121926	22195	16124
AM-IL-1	145387	172133	156025	129961	134096	21053	14410
IL-2-5	61843	59607	45675	49887	43566	57251	41188
IL-2-6	63501	125678	87538	98169	79733	25835	13276
IL-2-7	64487	84605	73453	65767	71752	26848	14182
IL-2-8	76717	75862	69693	63897	65806	28188	15261
IL-2-9	97933	113046	79123	79569	72256	30787	16313
IL-2-10	96590	111570	82707	74608	75662	29562	13922
AM-IL-2	76845	95061	73031	71983	68129	33078	19024
IL-3-5	493016	2167746	252653	2141407	224795	33370	29590
IL-3-6	595152	2854454	144565	2427551	125154	85228	87525
IL-3-7	365868	761754	104940	669212	89350	64061	102971
IL-3-8	5649620	42602898	728210	42454373	733727	1656994	2068100
IL-3-9	2026680	2997969	202999	3006077	196108	130310	158595
IL-3-10	2462137	3178982	208068	3221576	205548	99129	141940
AM-IL-3	1932079	9093967	273573	8986699	262447	344849	431454
AM-5	227782	806794	136380	776837	129953	37298	27774
AM-6	263319	1042900	119181	882921	105233	42434	37684
AM-7	194362	341750	113273	292538	100106	36927	44072
AM-8	1959502	14275639	317633	14211317	307011	569182	699454
AM-9	759324	1085322	137551	1065507	128819	61824	63462
AM-10	904333	1155639	147202	1136981	134379	50295	57329
